Start Date,Start Time,End Date,End Time,Description
08/12/2028,16:18,08/12/2028,16:18,פָּרָשַׁת וַיֵּשֶׁב
09/12/2028,,,,
09/12/2028,17:16,09/12/2028,17:16,
15/12/2028,16:19,15/12/2028,16:19,פָּרָשַׁת מִקֵּץ
16/12/2028,,,,
16/12/2028,17:18,16/12/2028,17:18,
22/12/2028,16:23,22/12/2028,16:23,פָּרָשַׁת וַיִּגַּשׁ
23/12/2028,,,,
23/12/2028,17:21,23/12/2028,17:21,
29/12/2028,16:27,29/12/2028,16:27,פָּרָשַׁת וַיְחִי
30/12/2028,,,,
30/12/2028,17:26,30/12/2028,17:26,
05/01/2029,16:32,05/01/2029,16:32,פָּרָשַׁת שְׁמוֹת
06/01/2029,,,,
06/01/2029,17:31,06/01/2029,17:31,
12/01/2029,16:38,12/01/2029,16:38,פָּרָשַׁת וָאֵרָא
13/01/2029,,,,
13/01/2029,17:36,13/01/2029,17:36,
19/01/2029,16:44,19/01/2029,16:44,פָּרָשַׁת בֹּא
20/01/2029,,,,
20/01/2029,17:42,20/01/2029,17:42,
26/01/2029,16:51,26/01/2029,16:51,פָּרָשַׁת בְּשַׁלַּח
27/01/2029,,,,שַׁבָּת שִׁירָה
27/01/2029,17:48,27/01/2029,17:48,
02/02/2029,16:57,02/02/2029,16:57,פָּרָשַׁת יִתְרוֹ
03/02/2029,,,,
03/02/2029,17:54,03/02/2029,17:54,
09/02/2029,17:03,09/02/2029,17:03,פָּרָשַׁת מִּשְׁפָּטִים
10/02/2029,,,,שַׁבָּת שְׁקָלִים
10/02/2029,18:00,10/02/2029,18:00,
16/02/2029,17:09,16/02/2029,17:09,פָּרָשַׁת תְּרוּמָה
17/02/2029,,,,
17/02/2029,18:06,17/02/2029,18:06,
23/02/2029,17:15,23/02/2029,17:15,פָּרָשַׁת תְּצַוֶּה
24/02/2029,,,,שַׁבָּת זָכוֹר
24/02/2029,18:11,24/02/2029,18:11,
02/03/2029,17:21,02/03/2029,17:21,פָּרָשַׁת כִּי תִשָּׂא
03/03/2029,,,,
03/03/2029,18:16,03/03/2029,18:16,
09/03/2029,17:26,09/03/2029,17:26,פָּרָשַׁת וַיַּקְהֵל־פְקוּדֵי
10/03/2029,,,,שַׁבָּת פּרה
10/03/2029,18:21,10/03/2029,18:21,
16/03/2029,17:31,16/03/2029,17:31,פָּרָשַׁת וַיִּקְרָא
17/03/2029,,,,שַׁבָּת הַחֹדֶשׁ + רֹאשׁ חוֹדֶשׁ נִיסָן
17/03/2029,18:26,17/03/2029,18:26,
23/03/2029,18:36,23/03/2029,18:36,פָּרָשַׁת צַו
24/03/2029,,,,שַׁבָּת הַגָּדוֹל
24/03/2029,19:31,24/03/2029,19:31,
30/03/2029,18:41,30/03/2029,18:41,פָּרָשַׁת פֶּסַח
31/03/2029,19:36,31/03/2029,19:36,
06/04/2029,18:45,06/04/2029,18:45,פָּרָשַׁת שְּׁמִינִי
07/04/2029,,,,
07/04/2029,19:42,07/04/2029,19:42,
13/04/2029,18:50,13/04/2029,18:50,פָּרָשַׁת תַזְרִיעַ־מְּצֹרָע
14/04/2029,,,,Machar Chodesh
14/04/2029,19:47,14/04/2029,19:47,
20/04/2029,18:55,20/04/2029,18:55,פָּרָשַׁת אַחֲרֵי מוֹת־קְדשִׁים
21/04/2029,,,,
21/04/2029,19:52,21/04/2029,19:52,
27/04/2029,19:00,27/04/2029,19:00,פָּרָשַׁת אֱמוֹר
28/04/2029,,,,
28/04/2029,19:58,28/04/2029,19:58,
04/05/2029,19:05,04/05/2029,19:05,פָּרָשַׁת בְּהַר
05/05/2029,,,,
05/05/2029,20:04,05/05/2029,20:04,
11/05/2029,19:10,11/05/2029,19:10,פָּרָשַׁת בְּחֻקֹּתַי
12/05/2029,,,,
12/05/2029,20:09,12/05/2029,20:09,
18/05/2029,19:15,18/05/2029,19:15,פָּרָשַׁת בְּמִדְבַּר
19/05/2029,,,,
19/05/2029,20:15,19/05/2029,20:15,
25/05/2029,19:20,25/05/2029,19:20,פָּרָשַׁת נָשׂא
26/05/2029,,,,
26/05/2029,20:20,26/05/2029,20:20,
01/06/2029,19:24,01/06/2029,19:24,פָּרָשַׁת בְּהַעֲלֹתְךָ
02/06/2029,,,,
02/06/2029,20:25,02/06/2029,20:25,
08/06/2029,19:27,08/06/2029,19:27,פָּרָשַׁת שְׁלַח־לְךָ
09/06/2029,,,,
09/06/2029,20:29,09/06/2029,20:29,
15/06/2029,19:30,15/06/2029,19:30,פָּרָשַׁת קֹרַח
16/06/2029,,,,
16/06/2029,20:31,16/06/2029,20:31,
22/06/2029,19:32,22/06/2029,19:32,פָּרָשַׁת חֻקַּת
23/06/2029,,,,
23/06/2029,20:33,23/06/2029,20:33,
29/06/2029,19:33,29/06/2029,19:33,פָּרָשַׁת בָּלָק
30/06/2029,,,,
30/06/2029,20:33,30/06/2029,20:33,
06/07/2029,19:32,06/07/2029,19:32,פָּרָשַׁת פִּינְחָס
07/07/2029,,,,
07/07/2029,20:32,07/07/2029,20:32,
13/07/2029,19:30,13/07/2029,19:30,פָּרָשַׁת מַּטּוֹת־מַסְעֵי
14/07/2029,,,,
14/07/2029,20:30,14/07/2029,20:30,
20/07/2029,19:27,20/07/2029,19:27,פָּרָשַׁת דְּבָרִים
21/07/2029,19:45,21/07/2029,19:45,עֶרֶב תִּשְׁעָה בְּאָב
21/07/2029,,,,שַׁבָּת חֲזוֹן
21/07/2029,20:26,21/07/2029,20:26,
22/07/2029,20:18,22/07/2029,20:18,תִּשְׁעָה בְּאָב נִדחֶה
27/07/2029,19:23,27/07/2029,19:23,פָּרָשַׁת וָאֶתְחַנַּן
28/07/2029,,,,שַׁבָּת נַחֲמוּ
28/07/2029,20:21,28/07/2029,20:21,
03/08/2029,19:18,03/08/2029,19:18,פָּרָשַׁת עֵקֶב
04/08/2029,,,,
04/08/2029,20:15,04/08/2029,20:15,
10/08/2029,19:11,10/08/2029,19:11,פָּרָשַׁת רְאֵה
11/08/2029,,,,רֹאשׁ חוֹדֶשׁ אֱלוּל
11/08/2029,20:08,11/08/2029,20:08,
17/08/2029,19:04,17/08/2029,19:04,פָּרָשַׁת שׁוֹפְטִים
18/08/2029,,,,
18/08/2029,20:00,18/08/2029,20:00,
24/08/2029,18:56,24/08/2029,18:56,פָּרָשַׁת כִּי־תֵצֵא
25/08/2029,,,,
25/08/2029,19:51,25/08/2029,19:51,
31/08/2029,18:48,31/08/2029,18:48,פָּרָשַׁת כִּי־תָבוֹא
01/09/2029,,,,
01/09/2029,19:42,01/09/2029,19:42,
07/09/2029,18:39,07/09/2029,18:39,פָּרָשַׁת נִצָּבִים
08/09/2029,,,,
08/09/2029,19:33,08/09/2029,19:33,
