"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Candle lighting","26/12/2025","16:25","26/12/2025","16:25","false","Parashat Vayigash","4","Ramat Gan"
"Parashat Vayigash","27/12/2025",,,,"true","","3","Torah Reading"
"Havdalah","27/12/2025","17:24","27/12/2025","17:24","false","","4","Ramat Gan"
"Fast begins","30/12/2025","05:23","30/12/2025","05:23","false","Asara B’Tevet","4","Ramat Gan"
"Asara B’Tevet","30/12/2025",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Fast ends","30/12/2025","17:18","30/12/2025","17:18","false","Asara B’Tevet","4","Ramat Gan"
"Candle lighting","2/1/2026","16:29","2/1/2026","16:29","false","Parashat Vayechi","4","Ramat Gan"
"Parashat Vayechi","3/1/2026",,,,"true","","3","Torah Reading"
"Havdalah","3/1/2026","17:28","3/1/2026","17:28","false","","4","Ramat Gan"
"Hebrew Language Day","8/1/2026",,,,"true","Promotes the Hebrew language in Israel and around the world","3","Jewish Holidays"
"Candle lighting","9/1/2026","16:35","9/1/2026","16:35","false","Parashat Shemot","4","Ramat Gan"
"Parashat Shemot","10/1/2026",,,,"true","","3","Torah Reading"
"Havdalah","10/1/2026","17:34","10/1/2026","17:34","false","","4","Ramat Gan"
"Candle lighting","16/1/2026","16:41","16/1/2026","16:41","false","Parashat Vaera","4","Ramat Gan"
"Parashat Vaera","17/1/2026",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Sh’vat","17/1/2026",,,,"true","Molad Sh’vat: Sun; 6 minutes and 11 chalakim after 15:00","3",""
"Havdalah","17/1/2026","17:39","17/1/2026","17:39","false","","4","Ramat Gan"
"Rosh Chodesh Sh’vat","19/1/2026",,,,"true","Start of month of Sh'vat on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","23/1/2026","16:48","23/1/2026","16:48","false","Parashat Bo","4","Ramat Gan"
"Parashat Bo","24/1/2026",,,,"true","","3","Torah Reading"
"Havdalah","24/1/2026","17:45","24/1/2026","17:45","false","","4","Ramat Gan"
"Candle lighting","30/1/2026","16:54","30/1/2026","16:54","false","Parashat Beshalach","4","Ramat Gan"
"Shabbat Shirah","31/1/2026",,,,"true","Shabbat of Song","3","Jewish Holidays"
"Parashat Beshalach","31/1/2026",,,,"true","Shabbat Shirah","3","Torah Reading"
"Havdalah","31/1/2026","17:51","31/1/2026","17:51","false","","4","Ramat Gan"
"Tu BiShvat","2/2/2026",,,,"true","New Year for Trees","3","Jewish Holidays"
"Candle lighting","6/2/2026","17:00","6/2/2026","17:00","false","Parashat Yitro","4","Ramat Gan"
"Parashat Yitro","7/2/2026",,,,"true","","3","Torah Reading"
"Havdalah","7/2/2026","17:57","7/2/2026","17:57","false","","4","Ramat Gan"
"Candle lighting","13/2/2026","17:07","13/2/2026","17:07","false","Parashat Mishpatim","4","Ramat Gan"
"Shabbat Shekalim","14/2/2026",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Parashat Mishpatim","14/2/2026",,,,"true","Shabbat Shekalim","3","Torah Reading"
"Mevarchim Chodesh Adar","14/2/2026",,,,"true","Molad Adar: Tue; 50 minutes and 12 chalakim after 3:00","3",""
"Havdalah","14/2/2026","18:03","14/2/2026","18:03","false","","4","Ramat Gan"
"Family Day","17/2/2026",,,,"true","Yom HaMishpacha; a day to honor the family unit","3","Jewish Holidays"
"Rosh Chodesh Adar","17/2/2026",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Adar","18/2/2026",,,,"true","Start of month of Adar on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","20/2/2026","17:13","20/2/2026","17:13","false","Parashat Terumah","4","Ramat Gan"
"Parashat Terumah","21/2/2026",,,,"true","","3","Torah Reading"
"Havdalah","21/2/2026","18:09","21/2/2026","18:09","false","","4","Ramat Gan"
"Candle lighting","27/2/2026","17:18","27/2/2026","17:18","false","Parashat Tetzaveh","4","Ramat Gan"
"Shabbat Zachor","28/2/2026",,,,"true","Shabbat of Remembrance","3","Jewish Holidays"
"Parashat Tetzaveh","28/2/2026",,,,"true","Shabbat Zachor","3","Torah Reading"
"Havdalah","28/2/2026","18:14","28/2/2026","18:14","false","","4","Ramat Gan"
"Fast begins","2/3/2026","04:55","2/3/2026","04:55","false","Ta’anit Esther","4","Ramat Gan"
"Ta’anit Esther","2/3/2026",,,,"true","Fast of Esther","3","Jewish Holidays"
"Fast ends","2/3/2026","18:09","2/3/2026","18:09","false","Ta’anit Esther","4","Ramat Gan"
"Erev Purim","2/3/2026",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Purim","3/3/2026",,,,"true","Celebration of Jewish deliverance as told by Megilat Esther","3","Jewish Holidays"
"Shushan Purim","4/3/2026",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Candle lighting","6/3/2026","17:24","6/3/2026","17:24","false","Parashat Ki Tisa","4","Ramat Gan"
"Shabbat Parah","7/3/2026",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Parashat Ki Tisa","7/3/2026",,,,"true","Shabbat Parah","3","Torah Reading"
"Havdalah","7/3/2026","18:19","7/3/2026","18:19","false","","4","Ramat Gan"
"Candle lighting","13/3/2026","17:29","13/3/2026","17:29","false","Parashat Vayakhel-Pekudei","4","Ramat Gan"
"Shabbat HaChodesh","14/3/2026",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Parashat Vayakhel-Pekudei","14/3/2026",,,,"true","Shabbat HaChodesh","3","Torah Reading"
"Mevarchim Chodesh Nisan","14/3/2026",,,,"true","Molad Nisan: Wed; 34 minutes and 13 chalakim after 16:00","3",""
"Havdalah","14/3/2026","18:24","14/3/2026","18:24","false","","4","Ramat Gan"
"Rosh Chodesh Nisan","19/3/2026",,,,"true","Start of month of Nisan on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","20/3/2026","17:34","20/3/2026","17:34","false","Parashat Vayikra","4","Ramat Gan"
"Parashat Vayikra","21/3/2026",,,,"true","","3","Torah Reading"
"Havdalah","21/3/2026","18:29","21/3/2026","18:29","false","","4","Ramat Gan"
"Candle lighting","27/3/2026","18:38","27/3/2026","18:38","false","Parashat Tzav","4","Ramat Gan"
"Shabbat HaGadol","28/3/2026",,,,"true","Shabbat before Pesach (The Great Shabbat)","3","Jewish Holidays"
"Yom HaAliyah","28/3/2026",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Parashat Tzav","28/3/2026",,,,"true","Shabbat HaGadol","3","Torah Reading"
"Havdalah","28/3/2026","19:34","28/3/2026","19:34","false","","4","Ramat Gan"
"Fast begins","1/4/2026","05:16","1/4/2026","05:16","false","Ta’anit Bechorot","4","Ramat Gan"
"Ta’anit Bechorot","1/4/2026",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","1/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Candle lighting","1/4/2026","18:42","1/4/2026","18:42","false","Erev Pesach","4","Ramat Gan"
"Pesach I","2/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Havdalah","2/4/2026","19:38","2/4/2026","19:38","false","Pesach I","4","Ramat Gan"
"Pesach II (CH’’M)","3/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Candle lighting","3/4/2026","18:43","3/4/2026","18:43","false","Parashat Pesach Shabbat Chol ha-Moed","4","Ramat Gan"
"Pesach III (CH’’M)","4/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Havdalah","4/4/2026","19:39","4/4/2026","19:39","false","","4","Ramat Gan"
"Pesach IV (CH’’M)","5/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH’’M)","6/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH’’M)","7/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Candle lighting","7/4/2026","18:46","7/4/2026","18:46","false","Pesach VI (CH’’M)","4","Ramat Gan"
"Pesach VII","8/4/2026",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Havdalah","8/4/2026","19:42","8/4/2026","19:42","false","Pesach VII","4","Ramat Gan"
"Candle lighting","10/4/2026","18:48","10/4/2026","18:48","false","Parashat Shmini","4","Ramat Gan"
"Parashat Shmini","11/4/2026",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Iyyar","11/4/2026",,,,"true","Molad Iyyar: Fri; 18 minutes and 14 chalakim after 5:00","3",""
"Havdalah","11/4/2026","19:44","11/4/2026","19:44","false","","4","Ramat Gan"
"Yom HaShoah","14/4/2026",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","17/4/2026",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","17/4/2026","18:53","17/4/2026","18:53","false","Parashat Tazria-Metzora","4","Ramat Gan"
"Rosh Chodesh Iyyar","18/4/2026",,,,"true","Start of month of Iyyar on the Hebrew calendar","3","Jewish Holidays"
"Parashat Tazria-Metzora","18/4/2026",,,,"true","Rosh Chodesh Iyyar","3","Torah Reading"
"Havdalah","18/4/2026","19:50","18/4/2026","19:50","false","","4","Ramat Gan"
"Yom HaZikaron","21/4/2026",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma’ut","22/4/2026",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Candle lighting","24/4/2026","18:58","24/4/2026","18:58","false","Parashat Achrei Mot-Kedoshim","4","Ramat Gan"
"Parashat Achrei Mot-Kedoshim","25/4/2026",,,,"true","","3","Torah Reading"
"Havdalah","25/4/2026","19:55","25/4/2026","19:55","false","","4","Ramat Gan"
"Herzl Day","27/4/2026",,,,"true","Commemorates the life and vision of Zionist leader Theodor Herzl","3","Jewish Holidays"
"Pesach Sheni","1/5/2026",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Candle lighting","1/5/2026","19:03","1/5/2026","19:03","false","Parashat Emor","4","Ramat Gan"
"Parashat Emor","2/5/2026",,,,"true","","3","Torah Reading"
"Havdalah","2/5/2026","20:01","2/5/2026","20:01","false","","4","Ramat Gan"
"Lag BaOmer","5/5/2026",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Candle lighting","8/5/2026","19:08","8/5/2026","19:08","false","Parashat Behar-Bechukotai","4","Ramat Gan"
"Parashat Behar-Bechukotai","9/5/2026",,,,"true","","3","Torah Reading"
"Havdalah","9/5/2026","20:07","9/5/2026","20:07","false","","4","Ramat Gan"
"Yom Yerushalayim","15/5/2026",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Candle lighting","15/5/2026","19:13","15/5/2026","19:13","false","Parashat Bamidbar","4","Ramat Gan"
"Parashat Bamidbar","16/5/2026",,,,"true","Machar Chodesh","3","Torah Reading"
"Mevarchim Chodesh Sivan","16/5/2026",,,,"true","Molad Sivan: Sat; 2 minutes and 15 chalakim after 18:00","3",""
"Havdalah","16/5/2026","20:12","16/5/2026","20:12","false","","4","Ramat Gan"
"Rosh Chodesh Sivan","17/5/2026",,,,"true","Start of month of Sivan on the Hebrew calendar","3","Jewish Holidays"
"Erev Shavuot","21/5/2026",,,,"true","Festival of Weeks","3","Jewish Holidays"
"Candle lighting","21/5/2026","19:17","21/5/2026","19:17","false","Erev Shavuot","4","Ramat Gan"
"Shavuot","22/5/2026",,,,"true","Festival of Weeks","4","Jewish Holidays"
"Candle lighting","22/5/2026","19:17","22/5/2026","19:17","false","Shavuot","4","Ramat Gan"
"Parashat Nasso","23/5/2026",,,,"true","","3","Torah Reading"
"Havdalah","23/5/2026","20:18","23/5/2026","20:18","false","","4","Ramat Gan"
"Candle lighting","29/5/2026","19:22","29/5/2026","19:22","false","Parashat Beha’alotcha","4","Ramat Gan"
"Parashat Beha’alotcha","30/5/2026",,,,"true","","3","Torah Reading"
"Havdalah","30/5/2026","20:23","30/5/2026","20:23","false","","4","Ramat Gan"
"Candle lighting","5/6/2026","19:26","5/6/2026","19:26","false","Parashat Sh’lach","4","Ramat Gan"
"Parashat Sh’lach","6/6/2026",,,,"true","","3","Torah Reading"
"Havdalah","6/6/2026","20:27","6/6/2026","20:27","false","","4","Ramat Gan"
"Candle lighting","12/6/2026","19:29","12/6/2026","19:29","false","Parashat Korach","4","Ramat Gan"
"Parashat Korach","13/6/2026",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Tamuz","13/6/2026",,,,"true","Molad Tamuz: Mon; 46 minutes and 16 chalakim after 6:00","3",""
"Havdalah","13/6/2026","20:30","13/6/2026","20:30","false","","4","Ramat Gan"
"Rosh Chodesh Tamuz","15/6/2026",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Tamuz","16/6/2026",,,,"true","Start of month of Tamuz on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","19/6/2026","19:31","19/6/2026","19:31","false","Parashat Chukat","4","Ramat Gan"
"Parashat Chukat","20/6/2026",,,,"true","","3","Torah Reading"
"Havdalah","20/6/2026","20:32","20/6/2026","20:32","false","","4","Ramat Gan"
"Candle lighting","26/6/2026","19:32","26/6/2026","19:32","false","Parashat Balak","4","Ramat Gan"
"Parashat Balak","27/6/2026",,,,"true","","3","Torah Reading"
"Havdalah","27/6/2026","20:33","27/6/2026","20:33","false","","4","Ramat Gan"
"Fast begins","2/7/2026","04:11","2/7/2026","04:11","false","Tzom Tammuz","4","Ramat Gan"
"Tzom Tammuz","2/7/2026",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Fast ends","2/7/2026","20:25","2/7/2026","20:25","false","Tzom Tammuz","4","Ramat Gan"
"Candle lighting","3/7/2026","19:32","3/7/2026","19:32","false","Parashat Pinchas","4","Ramat Gan"
"Parashat Pinchas","4/7/2026",,,,"true","","3","Torah Reading"
"Havdalah","4/7/2026","20:33","4/7/2026","20:33","false","","4","Ramat Gan"
"Candle lighting","10/7/2026","19:31","10/7/2026","19:31","false","Parashat Matot-Masei","4","Ramat Gan"
"Parashat Matot-Masei","11/7/2026",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Av","11/7/2026",,,,"true","Molad Av: Tue; 30 minutes and 17 chalakim after 19:00","3",""
"Havdalah","11/7/2026","20:31","11/7/2026","20:31","false","","4","Ramat Gan"
"Jabotinsky Day","14/7/2026",,,,"true","Commemorates the life and vision of Zionist leader Ze'ev Jabotinsky","3","Jewish Holidays"
"Rosh Chodesh Av","15/7/2026",,,,"true","Start of month of Av on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","17/7/2026","19:29","17/7/2026","19:29","false","Parashat Devarim","4","Ramat Gan"
"Shabbat Chazon","18/7/2026",,,,"true","Shabbat of Prophecy/Shabbat of Vision","3","Jewish Holidays"
"Parashat Devarim","18/7/2026",,,,"true","Shabbat Chazon","3","Torah Reading"
"Havdalah","18/7/2026","20:28","18/7/2026","20:28","false","","4","Ramat Gan"
"Fast begins","22/7/2026","19:45","22/7/2026","19:45","false","Erev Tish’a B’Av","4","Ramat Gan"
"Erev Tish’a B’Av","22/7/2026",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Tish’a B’Av","23/7/2026",,,,"true","The Ninth of Av","3","Jewish Holidays"
"Fast ends","23/7/2026","20:17","23/7/2026","20:17","false","Tish’a B’Av","4","Ramat Gan"
"Candle lighting","24/7/2026","19:25","24/7/2026","19:25","false","Parashat Vaetchanan","4","Ramat Gan"
"Shabbat Nachamu","25/7/2026",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Parashat Vaetchanan","25/7/2026",,,,"true","Shabbat Nachamu","3","Torah Reading"
"Havdalah","25/7/2026","20:24","25/7/2026","20:24","false","","4","Ramat Gan"
"Tu B’Av","29/7/2026",,,,"true","Minor Jewish holiday of love","3","Jewish Holidays"
"Candle lighting","31/7/2026","19:20","31/7/2026","19:20","false","Parashat Eikev","4","Ramat Gan"
"Parashat Eikev","1/8/2026",,,,"true","","3","Torah Reading"
"Havdalah","1/8/2026","20:18","1/8/2026","20:18","false","","4","Ramat Gan"
"Candle lighting","7/8/2026","19:14","7/8/2026","19:14","false","Parashat Re’eh","4","Ramat Gan"
"Parashat Re’eh","8/8/2026",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Elul","8/8/2026",,,,"true","Molad Elul: Thu; 15 minutes and 0 chalakim after 8:00","3",""
"Havdalah","8/8/2026","20:11","8/8/2026","20:11","false","","4","Ramat Gan"
"Rosh Chodesh Elul","13/8/2026",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Rosh Hashana LaBehemot","14/8/2026",,,,"true","New Year for Tithing Animals","3","Jewish Holidays"
"Rosh Chodesh Elul","14/8/2026",,,,"true","Start of month of Elul on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","14/8/2026","19:08","14/8/2026","19:08","false","Parashat Shoftim","4","Ramat Gan"
"Parashat Shoftim","15/8/2026",,,,"true","","3","Torah Reading"
"Havdalah","15/8/2026","20:03","15/8/2026","20:03","false","","4","Ramat Gan"
"Candle lighting","21/8/2026","19:00","21/8/2026","19:00","false","Parashat Ki Teitzei","4","Ramat Gan"
"Parashat Ki Teitzei","22/8/2026",,,,"true","","3","Torah Reading"
"Havdalah","22/8/2026","19:55","22/8/2026","19:55","false","","4","Ramat Gan"
"Candle lighting","28/8/2026","18:52","28/8/2026","18:52","false","Parashat Ki Tavo","4","Ramat Gan"
"Parashat Ki Tavo","29/8/2026",,,,"true","","3","Torah Reading"
"Havdalah","29/8/2026","19:46","29/8/2026","19:46","false","","4","Ramat Gan"
"Candle lighting","4/9/2026","18:43","4/9/2026","18:43","false","Parashat Nitzavim-Vayeilech","4","Ramat Gan"
"Leil Selichot","5/9/2026",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Parashat Nitzavim-Vayeilech","5/9/2026",,,,"true","","3","Torah Reading"
"Havdalah","5/9/2026","19:37","5/9/2026","19:37","false","","4","Ramat Gan"
"Erev Rosh Hashana","11/9/2026",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Candle lighting","11/9/2026","18:34","11/9/2026","18:34","false","Erev Rosh Hashana","4","Ramat Gan"
"Rosh Hashana 5787","12/9/2026",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Candle lighting","12/9/2026","19:27","12/9/2026","19:27","false","Rosh Hashana 5787","4","Ramat Gan"
"Rosh Hashana II","13/9/2026",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Havdalah","13/9/2026","19:26","13/9/2026","19:26","false","Rosh Hashana II","4","Ramat Gan"
"Fast begins","14/9/2026","05:11","14/9/2026","05:11","false","Tzom Gedaliah","4","Ramat Gan"
"Tzom Gedaliah","14/9/2026",,,,"true","Fast of the Seventh Month","3","Jewish Holidays"
"Fast ends","14/9/2026","19:18","14/9/2026","19:18","false","Tzom Gedaliah","4","Ramat Gan"
"Candle lighting","18/9/2026","18:25","18/9/2026","18:25","false","Parashat Ha’azinu","4","Ramat Gan"
"Shabbat Shuva","19/9/2026",,,,"true","Shabbat of Returning","3","Jewish Holidays"
"Parashat Ha’azinu","19/9/2026",,,,"true","Shabbat Shuva","3","Torah Reading"
"Havdalah","19/9/2026","19:18","19/9/2026","19:18","false","","4","Ramat Gan"
"Erev Yom Kippur","20/9/2026",,,,"true","Day of Atonement","3","Jewish Holidays"
"Candle lighting","20/9/2026","18:22","20/9/2026","18:22","false","Erev Yom Kippur","4","Ramat Gan"
"Yom Kippur","21/9/2026",,,,"true","Day of Atonement","4","Jewish Holidays"
"Havdalah","21/9/2026","19:15","21/9/2026","19:15","false","Yom Kippur","4","Ramat Gan"
"Erev Sukkot","25/9/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Candle lighting","25/9/2026","18:15","25/9/2026","18:15","false","Erev Sukkot","4","Ramat Gan"
"Sukkot I","26/9/2026",,,,"true","Feast of Booths","4","Jewish Holidays"
"Havdalah","26/9/2026","19:09","26/9/2026","19:09","false","Sukkot I","4","Ramat Gan"
"Sukkot II (CH’’M)","27/9/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot III (CH’’M)","28/9/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot IV (CH’’M)","29/9/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot V (CH’’M)","30/9/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VI (CH’’M)","1/10/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","2/10/2026",,,,"true","Feast of Booths","3","Jewish Holidays"
"Candle lighting","2/10/2026","18:06","2/10/2026","18:06","false","Sukkot VII (Hoshana Raba)","4","Ramat Gan"
"Shmini Atzeret","3/10/2026",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Havdalah","3/10/2026","19:00","3/10/2026","19:00","false","Shmini Atzeret","4","Ramat Gan"
"Candle lighting","9/10/2026","17:57","9/10/2026","17:57","false","Parashat Bereshit","4","Ramat Gan"
"Parashat Bereshit","10/10/2026",,,,"true","Machar Chodesh","3","Torah Reading"
"Mevarchim Chodesh Cheshvan","10/10/2026",,,,"true","Molad Cheshvan: Sun; 43 minutes and 2 chalakim after 9:00","3",""
"Havdalah","10/10/2026","18:51","10/10/2026","18:51","false","","4","Ramat Gan"
"Rosh Chodesh Cheshvan","11/10/2026",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","12/10/2026",,,,"true","Start of month of Cheshvan on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","16/10/2026","17:49","16/10/2026","17:49","false","Parashat Noach","4","Ramat Gan"
"Parashat Noach","17/10/2026",,,,"true","","3","Torah Reading"
"Havdalah","17/10/2026","18:43","17/10/2026","18:43","false","","4","Ramat Gan"
"Yom HaAliyah School Observance","18/10/2026",,,,"true","Aliyah Day observed in Israeli schools","3","Jewish Holidays"
"Yitzhak Rabin Memorial Day","22/10/2026",,,,"true","Commemorates the life of Israeli Prime Minister Yitzhak Rabin","3","Jewish Holidays"
"Candle lighting","23/10/2026","17:41","23/10/2026","17:41","false","Parashat Lech-Lecha","4","Ramat Gan"
"Parashat Lech-Lecha","24/10/2026",,,,"true","","3","Torah Reading"
"Havdalah","24/10/2026","18:35","24/10/2026","18:35","false","","4","Ramat Gan"
"Candle lighting","30/10/2026","16:34","30/10/2026","16:34","false","Parashat Vayera","4","Ramat Gan"
"Parashat Vayera","31/10/2026",,,,"true","","3","Torah Reading"
"Havdalah","31/10/2026","17:29","31/10/2026","17:29","false","","4","Ramat Gan"
"Candle lighting","6/11/2026","16:28","6/11/2026","16:28","false","Parashat Chayei Sara","4","Ramat Gan"
"Parashat Chayei Sara","7/11/2026",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Kislev","7/11/2026",,,,"true","Molad Kislev: Mon; 27 minutes and 3 chalakim after 22:00","3",""
"Havdalah","7/11/2026","17:24","7/11/2026","17:24","false","","4","Ramat Gan"
"Sigd","9/11/2026",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","10/11/2026",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/11/2026",,,,"true","Start of month of Kislev on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","13/11/2026","16:24","13/11/2026","16:24","false","Parashat Toldot","4","Ramat Gan"
"Parashat Toldot","14/11/2026",,,,"true","","3","Torah Reading"
"Havdalah","14/11/2026","17:20","14/11/2026","17:20","false","","4","Ramat Gan"
"Ben-Gurion Day","16/11/2026",,,,"true","Commemorates the life and vision of Israel's first Prime Minister David Ben-Gurion","3","Jewish Holidays"
"Candle lighting","20/11/2026","16:20","20/11/2026","16:20","false","Parashat Vayetzei","4","Ramat Gan"
"Parashat Vayetzei","21/11/2026",,,,"true","","3","Torah Reading"
"Havdalah","21/11/2026","17:17","21/11/2026","17:17","false","","4","Ramat Gan"
"Candle lighting","27/11/2026","16:18","27/11/2026","16:18","false","Parashat Vayishlach","4","Ramat Gan"
"Parashat Vayishlach","28/11/2026",,,,"true","","3","Torah Reading"
"Havdalah","28/11/2026","17:15","28/11/2026","17:15","false","","4","Ramat Gan"
"Chanukah: 1 Candle","4/12/2026","16:17","4/12/2026","16:17","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Candle lighting","4/12/2026","16:17","4/12/2026","16:17","false","Parashat Vayeshev","4","Ramat Gan"
"Chanukah: 2 Candles","5/12/2026","17:15","5/12/2026","17:15","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Parashat Vayeshev","5/12/2026",,,,"true","","3","Torah Reading"
"Mevarchim Chodesh Tevet","5/12/2026",,,,"true","Molad Tevet: Wed; 11 minutes and 4 chalakim after 11:00","3",""
"Havdalah","5/12/2026","17:15","5/12/2026","17:15","false","","4","Ramat Gan"
"Chanukah: 3 Candles","6/12/2026","16:55","6/12/2026","16:55","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Chanukah: 4 Candles","7/12/2026","16:55","7/12/2026","16:55","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Chanukah: 5 Candles","8/12/2026","16:55","8/12/2026","16:55","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Chanukah: 6 Candles","9/12/2026","16:55","9/12/2026","16:55","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Chag HaBanot","10/12/2026",,,,"true","North African Chanukah festival of daughters","3","Jewish Holidays"
"Chanukah: 7 Candles","10/12/2026","16:55","10/12/2026","16:55","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Rosh Chodesh Tevet","10/12/2026",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Chanukah: 8 Candles","11/12/2026","16:18","11/12/2026","16:18","false","Hanukkah; the Jewish festival of rededication","4","Ramat Gan"
"Rosh Chodesh Tevet","11/12/2026",,,,"true","Start of month of Tevet on the Hebrew calendar","3","Jewish Holidays"
"Candle lighting","11/12/2026","16:18","11/12/2026","16:18","false","Parashat Miketz","4","Ramat Gan"
"Chanukah: 8th Day","12/12/2026",,,,"true","Hanukkah; the Jewish festival of rededication","3","Jewish Holidays"
"Parashat Miketz","12/12/2026",,,,"true","","3","Torah Reading"
"Havdalah","12/12/2026","17:17","12/12/2026","17:17","false","","4","Ramat Gan"
"Candle lighting","18/12/2026","16:20","18/12/2026","16:20","false","Parashat Vayigash","4","Ramat Gan"
"Parashat Vayigash","19/12/2026",,,,"true","","3","Torah Reading"
"Havdalah","19/12/2026","17:19","19/12/2026","17:19","false","","4","Ramat Gan"
"Fast begins","20/12/2026","05:19","20/12/2026","05:19","false","Asara B’Tevet","4","Ramat Gan"
"Asara B’Tevet","20/12/2026",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Fast ends","20/12/2026","17:12","20/12/2026","17:12","false","Asara B’Tevet","4","Ramat Gan"
"Candle lighting","25/12/2026","16:24","25/12/2026","16:24","false","Parashat Vayechi","4","Ramat Gan"
"Parashat Vayechi","26/12/2026",,,,"true","","3","Torah Reading"
"Havdalah","26/12/2026","17:23","26/12/2026","17:23","false","","4","Ramat Gan"
"Hebrew Language Day","31/12/2026",,,,"true","Promotes the Hebrew language in Israel and around the world","3","Jewish Holidays"
